Australian Bureau of Statistics

"2021 Census - employment, income and education"
"SA2 (UR) by 1-digit level OCCP Occupation"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA2 (UR)",
"Alfredton",1013,2113,1073,1106,1128,861,378,738,71,45,8309,16835,
"Ballarat",859,1959,546,706,670,463,164,351,45,33,6330,12131,
"Buninyong",493,967,407,403,448,310,147,264,29,23,3765,7261,
"Delacombe",487,903,838,758,660,557,344,586,49,29,5458,10661,
"Smythes Creek",268,378,416,277,270,198,166,216,27,10,2004,4230,
"Wendouree - Miners Rest",558,874,1046,950,762,671,487,909,43,59,8973,15333,
"Ballarat East - Warrenheip",486,910,672,627,504,364,229,427,39,26,5407,9691,
"Ballarat North - Invermay",1000,2023,963,890,943,589,282,592,61,33,7380,14750,
"Canadian - Mount Clear",574,1431,753,884,722,551,284,541,53,25,6402,12225,
"Sebastopol - Redan",386,742,907,883,603,594,389,726,54,55,7763,13086,
"Bacchus Marsh Surrounds",476,520,536,356,403,219,253,352,30,26,3380,6559,
"Creswick - Clunes",597,624,557,386,358,245,206,407,23,20,4657,8085,
"Daylesford",912,1035,633,520,398,264,157,448,55,42,5487,9955,
"Gordon (Vic.)",551,578,503,310,380,223,236,332,32,41,3193,6372,
"Avoca",321,172,167,153,125,90,110,182,9,25,2185,3532,
"Beaufort",365,256,263,226,195,124,160,242,19,24,2759,4644,
"Golden Plains - North",291,305,408,252,266,164,179,274,17,18,2706,4894,
"Maryborough (Vic.)",269,347,434,443,257,301,194,477,25,32,5383,8160,
"Maryborough Surrounds",306,193,303,284,194,182,171,308,22,28,3544,5526,
"Bendigo",668,1678,830,943,681,558,377,841,69,68,8220,14929,
"California Gully - Eaglehawk",431,828,871,916,593,523,458,895,60,49,7334,12949,
"East Bendigo - Kennington",761,1720,741,811,788,564,291,653,50,40,7572,13988,
"Flora Hill - Spring Gully",487,1316,529,674,497,468,201,457,40,19,4753,9437,
"Kangaroo Flat - Golden Square",810,1614,1278,1307,1092,907,603,1350,87,59,11933,21043,
"Maiden Gully",391,603,446,327,420,311,153,237,26,11,2594,5518,
"Strathfieldsaye",732,1470,639,666,717,452,220,411,50,15,5350,10719,
"White Hills - Ascot",672,1345,1092,951,835,604,517,805,51,49,7517,14446,
"Bendigo Surrounds - South",650,846,682,490,551,368,267,410,34,46,3999,8344,
"Castlemaine",574,1392,582,564,448,306,166,447,36,32,6797,11352,
"Castlemaine Surrounds",706,958,637,443,400,280,225,438,42,32,5061,9225,
"Heathcote",311,297,317,202,210,141,177,234,20,27,3110,5062,
"Kyneton",887,1157,677,553,522,371,202,524,43,39,5589,10562,
"Woodend",685,1138,463,436,388,238,113,252,36,17,4193,7949,
"Bendigo Surrounds - North",389,301,399,234,252,174,203,248,15,18,2709,4934,
"Loddon",919,312,268,263,232,166,215,436,17,43,4405,7289,
"Bannockburn",471,635,708,507,511,346,288,358,48,25,3861,7754,
"Golden Plains - South",629,669,760,447,419,266,331,461,32,25,4068,8111,
"Winchelsea",657,650,560,370,310,246,194,340,27,25,3243,6614,
"Belmont",754,2042,1073,1004,827,608,385,657,62,57,7541,15017,
"Geelong",872,2045,922,911,829,554,270,588,80,46,6379,13504,
"Geelong West - Hamlyn Heights",1500,3145,1545,1389,1353,912,549,893,113,70,9726,21200,
"Highton",1748,3687,1349,1557,1416,1193,454,800,118,53,11656,24034,
"Lara",1075,1759,1645,1311,1237,818,917,987,113,71,10877,20817,
"Leopold",667,1180,1090,919,804,643,417,635,61,54,6808,13272,
"Newcomb - Moolap",482,868,1154,1094,685,670,601,983,58,59,8812,15462,
"Newtown (Vic.)",919,1811,503,561,588,443,150,316,54,24,5068,10445,
"North Geelong - Bell Park",723,1392,1098,923,832,653,564,831,95,60,8629,15795,
"Charlemont",544,1288,853,909,652,508,311,511,48,26,4651,10300,
"Corio - Lovely Banks",516,693,1122,1056,655,667,944,1417,112,84,11070,18325,
"Grovedale - Mount Duneed",1301,2810,1912,1824,1466,1275,710,1141,117,69,12141,24763,
"Norlane",170,264,465,534,248,287,474,581,39,45,5941,9051,
"Clifton Springs",808,1391,1271,1082,872,736,458,809,87,41,9235,16797,
"Lorne - Anglesea",573,793,380,325,278,224,39,200,30,22,3354,6234,
"Portarlington",507,675,533,443,456,283,197,327,45,32,6053,9536,
"Point Lonsdale - Queenscliff",393,641,262,227,263,159,34,132,22,28,3342,5519,
"Torquay",2132,3701,1606,1442,1325,991,264,749,123,52,12222,24607,
"Barwon Heads - Armstrong Creek",860,1551,774,817,664,482,213,387,56,19,5511,11333,
"Ocean Grove",1398,2543,1368,1164,1067,747,261,585,72,69,10114,19394,
"Alexandra",559,407,481,372,317,204,202,368,32,17,3867,6828,
