Australian Bureau of Statistics

"2021 Census - employment, income and education"
"SA2 (UR) by HRWRP Hours Worked (ranges)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"HRWRP Hours Worked (ranges)","0 hours","1-9 hours","10-19 hours","20-29 hours","30-34 hours","35-39 hours","40-44 hours","45-49 hours","50-59 hours","60-69 hours","70 hours or more","Not stated","Not applicable","Total",
"SA2 (UR)",
"Alfredton",428,535,807,1052,726,1763,1660,514,611,225,133,74,8309,16835,
"Ballarat",310,462,545,682,488,1010,1127,371,446,209,82,75,6330,12131,
"Buninyong",220,207,371,430,281,599,689,206,268,127,56,38,3765,7261,
"Delacombe",282,262,498,664,470,1146,1039,288,300,129,57,77,5458,10661,
"Smythes Creek",109,141,191,267,177,418,501,120,179,60,29,31,2004,4230,
"Wendouree - Miners Rest",376,370,610,799,558,1346,1210,357,367,157,104,109,8973,15333,
"Ballarat East - Warrenheip",258,260,431,534,422,850,851,234,235,90,62,66,5407,9691,
"Ballarat North - Invermay",421,440,681,925,619,1358,1475,500,530,243,111,73,7380,14750,
"Canadian - Mount Clear",322,383,546,760,508,1217,1134,317,334,123,70,84,6402,12225,
"Sebastopol - Redan",321,311,534,687,539,1238,972,228,252,98,61,100,7763,13086,
"Bacchus Marsh Surrounds",188,163,261,360,230,570,677,204,262,128,57,78,3380,6559,
"Creswick - Clunes",215,233,292,427,336,566,612,180,252,144,83,83,4657,8085,
"Daylesford",285,355,488,642,427,627,746,246,329,155,88,72,5487,9955,
"Gordon (Vic.)",181,182,272,358,255,512,642,203,283,152,67,73,3193,6372,
"Avoca",78,78,113,172,133,195,241,73,115,73,45,36,2185,3532,
"Beaufort",116,118,171,197,162,298,366,103,148,83,65,66,2759,4644,
"Golden Plains - North",137,108,195,260,178,432,432,128,152,63,46,49,2706,4894,
"Maryborough (Vic.)",160,185,297,349,289,602,481,121,124,70,45,64,5383,8160,
"Maryborough Surrounds",142,157,212,236,180,313,371,95,118,72,42,52,3544,5526,
"Bendigo",346,386,636,831,628,1494,1232,344,386,179,145,107,8220,14929,
"California Gully - Eaglehawk",335,290,535,679,517,1317,1046,296,292,91,108,104,7334,12949,
"East Bendigo - Kennington",390,426,627,783,579,1287,1189,345,418,189,108,86,7572,13988,
"Flora Hill - Spring Gully",267,338,504,639,441,987,752,236,287,113,69,44,4753,9437,
"Kangaroo Flat - Golden Square",476,554,834,1100,869,2099,1714,488,483,194,166,129,11933,21043,
"Maiden Gully",153,197,288,364,251,555,562,174,206,89,63,24,2594,5518,
"Strathfieldsaye",270,379,518,669,451,994,1064,327,386,170,82,52,5350,10719,
"White Hills - Ascot",402,347,584,775,666,1568,1379,369,441,136,161,100,7517,14446,
"Bendigo Surrounds - South",272,271,339,570,368,769,883,242,312,135,85,101,3999,8344,
"Castlemaine",250,369,534,721,516,655,803,216,274,97,63,55,6797,11352,
"Castlemaine Surrounds",263,319,438,596,411,581,727,196,288,149,78,100,5061,9225,
"Heathcote",120,124,177,257,173,298,350,120,150,59,66,48,3110,5062,
"Kyneton",303,358,491,560,469,733,987,297,410,188,84,83,5589,10562,
"Woodend",247,276,361,423,350,517,805,239,313,131,56,47,4193,7949,
"Bendigo Surrounds - North",157,134,199,239,173,376,404,105,193,101,80,61,2709,4934,
"Loddon",148,188,239,348,232,362,464,143,268,189,195,107,4405,7289,
"Bannockburn",237,239,377,452,305,706,788,216,333,128,58,56,3861,7754,
"Golden Plains - South",256,231,383,426,303,681,864,222,325,160,96,92,4068,8111,
"Winchelsea",215,243,334,375,310,507,650,162,281,140,83,75,3243,6614,
"Belmont",420,489,798,894,623,1541,1483,418,466,169,75,110,7541,15017,
"Geelong",410,494,703,852,622,1372,1471,376,463,195,92,83,6379,13504,
"Geelong West - Hamlyn Heights",638,658,992,1392,922,2291,2430,722,826,320,129,146,9726,21200,
"Highton",670,1044,1402,1514,963,2116,2391,730,931,353,152,116,11656,24034,
"Lara",523,504,818,1104,734,2123,2203,586,754,284,151,149,10877,20817,
"Leopold",335,392,663,829,601,1287,1327,346,394,151,60,81,6808,13272,
"Newcomb - Moolap",340,419,686,912,553,1420,1324,347,329,122,78,120,8812,15462,
"Newtown (Vic.)",261,398,543,665,467,778,1035,346,525,209,96,37,5068,10445,
"North Geelong - Bell Park",396,409,658,896,602,1529,1544,349,396,171,67,155,8629,15795,
"Charlemont",331,262,508,688,487,1306,1192,299,341,89,73,75,4651,10300,
"Corio - Lovely Banks",363,459,733,907,585,1624,1474,336,363,147,103,180,11070,18325,
"Grovedale - Mount Duneed",680,832,1325,1580,1078,2538,2563,728,765,254,133,149,12141,24763,
"Norlane",182,188,310,428,295,681,600,127,141,53,22,89,5941,9051,
"Clifton Springs",451,474,799,977,669,1431,1525,430,446,172,91,104,9235,16797,
"Lorne - Anglesea",248,249,343,386,270,402,472,160,177,95,31,43,3354,6234,
"Portarlington",270,239,356,448,310,604,648,176,217,80,59,74,6053,9536,
"Point Lonsdale - Queenscliff",160,212,233,314,186,309,353,98,147,72,39,50,3342,5519,
"Torquay",792,863,1173,1468,997,2026,2594,773,1014,384,166,131,12222,24607,
"Barwon Heads - Armstrong Creek",367,410,520,775,484,1053,1179,325,422,139,69,77,5511,11333,
"Ocean Grove",624,679,954,1254,847,1418,1848,499,653,254,85,168,10114,19394,
"Alexandra",231,202,282,363,294,523,514,120,222,82,51,74,3867,6828,
"Euroa",189,174,249,326,281,427,588,116,213,140,102,86,4031,6922,
"Kilmore - Broadford",403,368,654,806,538,1360,1570,441,577,238,102,154,8349,15563,
"Mansfield (Vic.)",296,297,514,628,430,687,857,276,361,187,125,131,5739,10517,
"Nagambie",103,122,182,210,154,363,456,108,163,88,68,39,2489,4537,
"Seymour",162,158,251,313,264,561,511,140,160,73,39,68,3876,6569,
"Seymour Surrounds",133,106,169,231,136,364,631,200,251,104,76,52,2182,4645,
"Upper Yarra Valley",5,5,4,3,6,18,21,4,0,0,0,3,159,238,
"Yea",122,115,165,224,130,245,342,108,161,72,38,41,2417,4182,
"Benalla",258,292,421,535,364,805,835,219,341,167,71,129,6383,10822,
"Benalla Surrounds",111,106,150,231,157,290,348,100,152,99,79,40,1926,3781,
"Rutherglen",106,97,157,212,144,317,425,111,141,73,57,43,2162,4047,
"Wangaratta",479,555,805,1076,891,1946,1682,459,527,228,141,135,10946,19882,
"Wangaratta Surrounds",299,320,392,614,450,806,958,316,411,268,156,126,4811,9925,
"Beechworth",185,154,211,304,216,398,389,104,174,68,51,45,2673,4986,
"Bright - Mount Beauty",337,313,448,601,425,666,681,209,318,134,111,82,4583,8903,
"Chiltern - Indigo Valley",92,81,157,161,146,278,325,93,117,69,33,33,1585,3184,
"Myrtleford",156,152,202,321,202,397,387,117,141,60,62,66,2474,4745,
"Towong",155,176,254,296,241,433,530,149,252,149,132,72,3358,6196,
"West Wodonga",346,428,582,767,671,1634,1464,436,482,199,111,114,8166,15396,
"Yackandandah",161,130,247,313,244,402,495,149,245,100,75,52,2598,5221,
"Baranduda - Leneva",313,331,460,709,521,1330,1694,464,514,187,120,103,6027,12778,
"Wodonga",338,373,570,770,614,1477,1375,418,365,181,86,140,8376,15082,
"Drouin",491,531,821,1046,764,1694,1705,484,662,286,193,197,10913,19773,
"Mount Baw Baw Region",196,189,296,395,236,497,550,164,243,132,126,71,3478,6585,
"Trafalgar (Vic.)",218,269,356,488,287,681,678,217,300,168,118,101,4496,8368,
"Warragul",604,718,968,1264,940,2033,2053,608,876,365,240,166,12212,23051,
"Alps - East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Bairnsdale",334,398,618,879,658,1312,1142,340,378,160,112,146,9203,15684,
"Bruthen - Omeo",240,194,349,542,357,645,653,212,315,165,115,99,4403,8290,
"Lake King",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lakes Entrance",290,308,471,530,363,621,662,157,221,110,82,107,7239,11164,
"Orbost",166,189,278,341,248,351,389,108,180,97,91,75,4208,6727,
"Paynesville",157,192,259,312,237,432,403,130,135,76,56,47,4541,6977,
"Foster",277,302,475,534,361,436,636,178,284,179,203,118,5471,9446,
"French Island",4,7,3,11,4,3,6,6,0,0,3,0,87,139,
"Korumburra",276,267,465,579,405,743,828,240,328,203,145,113,5248,9842,
"Leongatha",279,368,506,650,435,804,914,312,356,231,185,129,6342,11502,
"Phillip Island",512,408,647,784,482,895,933,249,292,147,66,117,8268,13799,
"Wilsons Promontory",0,0,0,0,0,5,5,0,0,0,0,0,6,16,
"Wonthaggi - Inverloch",735,774,1208,1501,1020,1724,2031,483,638,288,196,257,15942,26792,
"Churchill",308,298,520,607,455,1029,960,274,279,197,115,113,6764,11912,
"Moe - Newborough",355,385,645,836,578,1398,1217,329,350,142,86,173,10793,17291,
"Morwell",261,289,504,667,424,1031,766,240,220,107,79,135,9710,14432,
"Yallourn North - Glengarry",157,122,206,252,199,407,452,169,135,75,47,60,2433,4707,
"Traralgon - East",319,298,459,634,432,1111,955,356,337,180,91,101,6728,12000,
"Traralgon - West",446,440,708,936,710,1784,1636,555,487,240,120,89,8679,16822,
"Alps - West",0,4,0,0,0,0,3,0,5,0,0,0,12,23,
"Longford - Loch Sport",133,105,188,254,159,267,407,126,167,130,96,51,2820,4915,
"Maffra",440,385,552,732,558,1063,1253,360,482,254,240,129,8309,14756,
"Rosedale",103,98,152,192,136,293,348,126,192,94,116,61,3018,4928,
"Sale",336,431,599,814,534,1240,1359,391,444,175,134,118,8737,15301,
"Yarram",117,146,208,269,217,321,391,120,152,114,133,58,3364,5605,
"Brunswick East",420,405,596,806,656,1909,2085,570,676,238,79,76,4222,12738,
"Brunswick West",460,459,739,1001,707,1808,1854,514,615,206,93,104,5744,14318,
"Pascoe Vale South",308,326,493,653,451,1084,1213,348,464,154,63,61,4768,10390,
"Brunswick - North",406,412,667,919,711,1619,1875,507,590,188,80,99,4819,12890,
"Brunswick - South",402,451,643,881,704,1804,1971,551,714,227,89,81,4460,12983,
"Coburg - East",411,411,653,839,618,1487,1496,369,444,144,59,85,5515,12535,
"Coburg - West",415,436,636,915,672,1439,1620,439,557,212,104,86,6499,14031,
"Alphington - Fairfield",275,314,435,602,473,934,1088,359,430,151,65,45,3826,8994,
"Thornbury",586,573,881,1283,981,2202,2386,703,825,279,109,114,7987,18919,
"Northcote - East",466,502,707,953,760,1561,1944,641,785,263,93,78,6317,15068,
"Northcote - West",299,327,465,687,539,1240,1374,434,581,181,80,37,4059,10299,
"Ascot Vale",451,388,634,903,626,1649,1808,574,710,273,124,69,6984,15191,
"Flemington",230,255,404,578,371,1060,1072,296,334,127,59,80,4201,9065,
"Moonee Ponds",461,491,682,1025,688,1885,2225,618,801,318,150,91,6791,16224,
"Essendon (West) - Aberfeldie",444,512,749,1010,610,1654,1958,522,714,311,127,129,7312,16042,
"Essendon - East",345,364,556,780,523,1437,1620,452,603,234,103,92,5071,12191,
"Carlton",555,841,1014,1236,539,1561,1717,388,463,192,91,145,7908,16655,
"Docklands",479,362,579,953,477,2072,2981,462,598,236,115,122,6053,15493,
"East Melbourne",127,139,229,261,203,530,777,215,337,147,79,29,1824,4896,
"Flemington Racecourse",6,4,6,9,3,13,14,4,0,0,0,0,13,77,
"Kensington (Vic.)",324,318,426,623,500,1396,1580,472,596,193,83,49,4179,10745,
"Parkville",358,584,501,447,210,604,680,182,230,94,41,38,3320,7297,
"South Yarra - West",155,174,237,367,251,648,925,252,389,206,67,45,2703,6423,
"West Melbourne - Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Melbourne CBD - East",341,335,615,926,335,1131,1259,265,316,146,81,111,3995,9848,
"Melbourne CBD - North",596,820,1207,1830,563,1874,1803,296,271,84,75,187,7261,16870,
"Melbourne CBD - West",525,590,1040,1680,620,2232,2211,388,396,142,90,217,5523,15648,
"North Melbourne",436,544,793,988,596,1826,1978,529,652,235,123,102,6826,15637,
"Royal Botanic Gardens Victoria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Southbank (West) - South Wharf",184,173,309,481,212,923,1137,247,289,124,52,61,2272,6463,
"Southbank - East",539,492,842,1483,614,2754,2947,523,642,218,109,158,4776,16101,
"West Melbourne - Residential",230,210,400,649,286,1042,1220,289,284,96,58,66,2613,7446,
"Albert Park",374,462,637,866,596,1424,2054,575,1013,506,193,99,7032,15825,
"Elwood",444,443,642,894,708,1697,2188,698,980,321,128,89,5598,14818,
"Port Melbourne",455,384,520,792,529,1491,2283,687,1078,430,150,81,7312,16192,
"St Kilda East",485,461,753,1066,718,2055,2368,749,857,268,124,120,5786,15813,
