Australian Bureau of Statistics

"2021 Census - selected family characteristics"
"SA2 (EN) by CPRF Count of Persons in Family"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"CPRF Count of Persons in Family","Two persons in family","Three persons in family","Four persons in family","Five persons in family","Six or more persons in family","Not applicable","Total",
"SA2 (EN)",
"Alfredton",1812,952,1144,506,151,1728,6287,
"Ballarat",1687,598,512,205,48,2426,5486,
"Buninyong",954,359,442,188,60,708,2716,
"Delacombe",1361,687,588,215,82,1332,4266,
"Smythes Creek",496,241,279,133,64,314,1528,
"Wendouree - Miners Rest",2103,817,656,266,117,2870,6830,
"Ballarat East - Warrenheip",1355,478,386,148,42,2100,4520,
"Ballarat North - Invermay",1979,736,813,360,81,2325,6303,
"Canadian - Mount Clear",1570,627,574,246,58,2265,5343,
"Sebastopol - Redan",1859,737,453,167,67,3129,6414,
"Bacchus Marsh Surrounds",880,382,331,166,40,882,2691,
"Creswick - Clunes",1257,387,340,167,55,1409,3620,
"Daylesford",1735,441,353,139,36,2079,4780,
"Gordon (Vic.)",846,322,350,166,60,756,2503,
"Avoca",608,131,115,53,36,723,1670,
"Beaufort",692,219,176,68,29,793,1970,
"Golden Plains - North",685,246,251,116,50,650,2007,
"Maryborough (Vic.)",1303,387,285,121,47,1857,3998,
"Maryborough Surrounds",848,266,207,90,41,1136,2586,
"Bendigo",2022,808,533,185,92,3351,6997,
"California Gully - Eaglehawk",1795,727,591,246,104,2302,5765,
"East Bendigo - Kennington",2022,665,580,239,88,2669,6264,
"Flora Hill - Spring Gully",1208,515,429,175,56,1831,4215,
"Kangaroo Flat - Golden Square",2985,1169,888,338,131,3924,9435,
"Maiden Gully",566,322,388,203,64,331,1879,
"Strathfieldsaye",1242,568,776,349,107,766,3801,
"White Hills - Ascot",1799,835,836,371,147,1704,5689,
"Bendigo Surrounds - South",1095,422,532,250,82,721,3108,
"Castlemaine",1736,576,442,131,45,2285,5211,
"Castlemaine Surrounds",1571,459,401,141,47,1669,4287,
"Heathcote",828,247,155,70,41,1030,2363,
"Kyneton",1490,558,586,187,55,1551,4434,
"Woodend",1051,463,510,198,33,891,3146,
"Bendigo Surrounds - North",707,272,227,123,30,685,2049,
"Loddon",1102,288,263,123,70,1528,3372,
"Bannockburn",820,398,565,287,74,514,2657,
"Golden Plains - South",985,461,527,226,76,749,3028,
"Winchelsea",901,388,379,156,47,758,2631,
"Belmont",1924,798,758,246,63,2932,6717,
"Geelong",1904,663,482,195,51,3173,6468,
"Geelong West - Hamlyn Heights",2725,1220,1122,418,87,3913,9486,
"Highton",2803,1223,1537,583,154,2644,8947,
"Lara",2339,1232,1255,479,161,2101,7578,
"Leopold",1849,790,786,305,73,1586,5383,
"Newcomb - Moolap",2274,845,600,229,82,3102,7132,
"Newtown (Vic.)",1264,547,619,253,62,1543,4297,
"North Geelong - Bell Park",2176,928,761,273,77,2667,6891,
"Charlemont",1232,643,578,180,52,1341,4025,
"Corio - Lovely Banks",2136,1153,818,349,207,2813,7480,
"Grovedale - Mount Duneed",3104,1434,1424,495,143,3254,9861,
"Norlane",1105,550,291,92,68,2246,4350,
"Clifton Springs",2656,988,825,365,101,2181,7112,
"Lorne - Anglesea",1040,259,256,75,18,1449,3100,
"Portarlington",1963,404,296,98,40,1850,4644,
"Point Lonsdale - Queenscliff",1071,234,197,85,9,1091,2688,
"Torquay",2934,1211,1672,671,118,2669,9267,
"Barwon Heads - Armstrong Creek",1401,613,713,315,66,1254,4364,
"Ocean Grove",2661,948,1249,433,94,2379,7758,
"Alexandra",1191,314,233,101,27,1483,3359,
"Euroa",1182,315,231,97,43,1416,3280,
"Kilmore - Broadford",2026,904,821,359,136,2167,6411,
"Mansfield (Vic.)",1619,420,389,192,51,2121,4799,
"Nagambie",763,229,164,77,25,852,2111,
"Seymour",940,371,255,97,32,1368,3063,
"Seymour Surrounds",614,251,218,101,42,508,1732,
"Upper Yarra Valley",25,11,12,0,4,67,114,
"Yea",700,178,144,58,23,855,1965,
"Benalla",1762,495,390,155,52,2262,5114,
"Benalla Surrounds",671,179,165,65,30,573,1679,
"Rutherglen",639,212,180,86,17,671,1804,
"Wangaratta",2814,1003,879,394,120,3748,8953,
"Wangaratta Surrounds",1569,502,476,231,74,1349,4196,
"Beechworth",810,216,235,95,17,793,2170,
"Bright - Mount Beauty",1364,372,384,141,37,1999,4291,
"Chiltern - Indigo Valley",492,177,141,59,34,493,1389,
"Myrtleford",803,234,189,95,24,792,2137,
"Towong",1022,269,232,108,40,1064,2729,
"West Wodonga",2048,869,807,311,111,2356,6495,
"Yackandandah",759,250,279,140,52,561,2036,
"Baranduda - Leneva",1445,737,801,348,113,983,4415,
"Wodonga",2195,820,614,242,100,3147,7116,
"Drouin",2741,1096,966,457,198,2634,8086,
"Mount Baw Baw Region",962,336,322,154,40,962,2773,
"Trafalgar (Vic.)",1252,442,412,173,72,1162,3506,
