Australian Bureau of Statistics

"2021 Census - selected family characteristics"
"SA2 (EN) by FNOF Family Number"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"FNOF Family Number","Primary family","Second family","Third family","Not applicable","Total",
"SA2 (EN)",
"Alfredton",4485,77,0,1728,6287,
"Ballarat",3028,20,0,2426,5486,
"Buninyong",1989,23,0,708,2716,
"Delacombe",2887,45,0,1332,4266,
"Smythes Creek",1174,41,0,314,1528,
"Wendouree - Miners Rest",3899,60,0,2870,6830,
"Ballarat East - Warrenheip",2395,30,0,2100,4520,
"Ballarat North - Invermay",3942,38,0,2325,6303,
"Canadian - Mount Clear",3045,38,0,2265,5343,
"Sebastopol - Redan",3232,53,0,3129,6414,
"Bacchus Marsh Surrounds",1758,46,0,882,2691,
"Creswick - Clunes",2172,36,0,1409,3620,
"Daylesford",2660,35,3,2079,4780,
"Gordon (Vic.)",1704,39,0,756,2503,
"Avoca",928,16,0,723,1670,
"Beaufort",1161,22,0,793,1970,
"Golden Plains - North",1324,34,0,650,2007,
"Maryborough (Vic.)",2115,27,0,1857,3998,
"Maryborough Surrounds",1417,29,0,1136,2586,
"Bendigo",3583,61,3,3351,6997,
"California Gully - Eaglehawk",3365,96,4,2302,5765,
"East Bendigo - Kennington",3555,44,0,2669,6264,
"Flora Hill - Spring Gully",2356,24,0,1831,4215,
"Kangaroo Flat - Golden Square",5419,85,5,3924,9435,
"Maiden Gully",1521,27,0,331,1879,
"Strathfieldsaye",2998,45,0,766,3801,
"White Hills - Ascot",3906,80,7,1704,5689,
"Bendigo Surrounds - South",2322,57,3,721,3108,
"Castlemaine",2891,32,0,2285,5211,
"Castlemaine Surrounds",2569,46,3,1669,4287,
"Heathcote",1303,27,0,1030,2363,
"Kyneton",2832,43,0,1551,4434,
"Woodend",2225,34,0,891,3146,
"Bendigo Surrounds - North",1324,31,5,685,2049,
"Loddon",1820,21,0,1528,3372,
"Bannockburn",2100,42,0,514,2657,
"Golden Plains - South",2206,70,0,749,3028,
"Winchelsea",1822,48,0,758,2631,
"Belmont",3745,39,0,2932,6717,
"Geelong",3266,31,0,3173,6468,
"Geelong West - Hamlyn Heights",5518,50,0,3913,9486,
"Highton",6217,86,0,2644,8947,
"Lara",5329,147,5,2101,7578,
"Leopold",3732,67,0,1586,5383,
"Newcomb - Moolap",3940,84,0,3102,7132,
"Newtown (Vic.)",2734,14,0,1543,4297,
"North Geelong - Bell Park",4151,77,0,2667,6891,
"Charlemont",2643,43,5,1341,4025,
"Corio - Lovely Banks",4513,146,6,2813,7480,
"Grovedale - Mount Duneed",6496,111,0,3254,9861,
"Norlane",2050,46,0,2246,4350,
"Clifton Springs",4871,57,0,2181,7112,
"Lorne - Anglesea",1639,14,0,1449,3100,
"Portarlington",2760,36,0,1850,4644,
"Point Lonsdale - Queenscliff",1576,21,0,1091,2688,
"Torquay",6515,84,0,2669,9267,
"Barwon Heads - Armstrong Creek",3071,31,6,1254,4364,
"Ocean Grove",5321,63,0,2379,7758,
"Alexandra",1839,31,0,1483,3359,
"Euroa",1847,19,0,1416,3280,
"Kilmore - Broadford",4129,114,0,2167,6411,
"Mansfield (Vic.)",2642,33,0,2121,4799,
"Nagambie",1234,28,0,852,2111,
"Seymour",1657,30,0,1368,3063,
"Seymour Surrounds",1196,26,0,508,1732,
"Upper Yarra Valley",51,0,0,67,114,
"Yea",1083,25,0,855,1965,
"Benalla",2805,51,0,2262,5114,
"Benalla Surrounds",1084,21,0,573,1679,
"Rutherglen",1119,17,0,671,1804,
"Wangaratta",5140,73,0,3748,8953,
"Wangaratta Surrounds",2790,56,0,1349,4196,
"Beechworth",1354,23,0,793,2170,
"Bright - Mount Beauty",2262,28,3,1999,4291,
"Chiltern - Indigo Valley",883,9,0,493,1389,
"Myrtleford",1322,21,0,792,2137,
"Towong",1645,23,0,1064,2729,
"West Wodonga",4063,82,3,2356,6495,
"Yackandandah",1438,31,0,561,2036,
"Baranduda - Leneva",3371,66,0,983,4415,
"Wodonga",3900,69,4,3147,7116,
"Drouin",5331,117,0,2634,8086,
"Mount Baw Baw Region",1774,38,0,962,2773,
"Trafalgar (Vic.)",2304,41,0,1162,3506,
"Warragul",6167,99,0,3144,9413,
"Alps - East",0,0,0,0,0,
"Bairnsdale",4068,61,0,2827,6958,
"Bruthen - Omeo",2275,49,0,1260,3585,
"Lake King",0,0,0,0,0,
"Lakes Entrance",3005,46,0,2209,5259,
"Orbost",1668,29,0,1637,3332,
"Paynesville",2075,31,0,1222,3333,
"Foster",2496,27,0,2063,4581,
"French Island",33,0,0,35,70,
"Korumburra",2645,70,0,1387,4109,
"Leongatha",3098,45,4,1812,4955,
"Phillip Island",3608,50,0,2782,6436,
"Wilsons Promontory",5,0,0,10,13,
"Wonthaggi - Inverloch",7253,112,3,5031,12394,
"Churchill",3294,59,0,1614,4968,
"Moe - Newborough",4281,75,0,3769,8126,
"Morwell",3447,60,3,3229,6739,
"Yallourn North - Glengarry",1297,31,0,592,1919,
"Traralgon - East",3082,46,0,2063,5195,
"Traralgon - West",4469,66,0,2715,7249,
"Alps - West",4,0,0,17,18,
"Longford - Loch Sport",1274,19,0,944,2240,
"Maffra",3940,53,0,2324,6323,
"Rosedale",1081,20,0,619,1719,
"Sale",3969,48,0,2764,6778,
"Yarram",1510,33,0,1114,2654,
"Brunswick East",2956,23,0,3500,6480,
"Brunswick West",3359,30,0,3489,6883,
"Pascoe Vale South",2773,31,0,1172,3978,
"Brunswick - North",2996,37,0,2990,6028,
"Brunswick - South",2956,24,0,3452,6432,
"Coburg - East",3126,44,4,2356,5529,
"Coburg - West",3615,69,3,1884,5573,
"Alphington - Fairfield",2232,28,0,1681,3938,
"Thornbury",4703,60,0,3713,8482,
"Northcote - East",3696,33,0,2780,6514,
"Northcote - West",2522,13,0,1984,4510,
"Ascot Vale",3864,43,0,2657,6560,
"Flemington",2082,25,0,2495,4601,
"Moonee Ponds",4127,40,0,3139,7305,
"Essendon (West) - Aberfeldie",4197,44,0,2221,6463,
"Essendon - East",3072,30,0,2488,5581,
"Carlton",2581,14,0,5358,7954,
"Docklands",3879,17,0,4686,8584,
"East Melbourne",1195,6,0,1494,2691,
"Flemington Racecourse",11,0,0,20,34,
"Kensington (Vic.)",2663,17,0,2414,5090,
"Parkville",1022,6,0,1338,2372,
"South Yarra - West",1498,3,0,1815,3322,
"West Melbourne - Industrial",0,0,0,3,3,
"Melbourne CBD - East",1723,8,0,3781,5512,
"Melbourne CBD - North",2810,21,0,7066,9891,
"Melbourne CBD - West",2924,23,0,6268,9218,
"North Melbourne",3239,25,0,4579,7847,
