Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by STRD Dwelling Structure"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"STRD Dwelling Structure","Separate house","Semi-detached, row or terrace house, townhouse etc. with one storey","Semi-detached, row or terrace house, townhouse etc. with two or more storeys","Flat or apartment in a one or two storey block","Flat or apartment in a three storey block","Flat or apartment in a four to eight storey block","Flat or apartment in a nine or more storey block","Flat or apartment attached to a house","Caravan","Cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.","Not stated","Not applicable","Total",
"SA2 (EN)",
"Alfredton",5717,83,140,275,0,0,0,0,4,0,0,0,14,9,6245,
"Ballarat",4588,663,200,338,66,13,0,0,0,0,15,33,21,36,5970,
"Buninyong",2613,64,14,45,0,0,0,0,0,0,0,5,11,3,2768,
"Delacombe",3914,225,0,5,0,0,0,5,0,0,0,0,11,8,4172,
"Smythes Creek",1489,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,
"Wendouree - Miners Rest",5838,803,40,243,37,0,0,0,0,0,0,0,6,3,6977,
"Ballarat East - Warrenheip",4006,500,48,53,0,0,0,0,23,21,4,10,10,20,4696,
"Ballarat North - Invermay",5727,580,120,83,0,0,0,5,0,0,4,11,10,11,6546,
"Canadian - Mount Clear",4541,676,68,210,16,0,0,0,4,3,0,6,9,8,5547,
"Sebastopol - Redan",4497,2058,38,18,0,0,0,4,0,0,0,0,6,12,6632,
"Bacchus Marsh Surrounds",2804,89,10,0,0,0,0,3,10,3,3,9,3,4,2938,
"Creswick - Clunes",3636,32,11,129,0,0,0,0,39,7,6,33,7,15,3910,
"Daylesford",5890,190,65,9,0,0,0,8,15,20,9,26,17,25,6260,
"Gordon (Vic.)",2697,0,0,3,0,0,0,0,8,0,0,3,4,4,2724,
"Avoca",1896,15,3,0,0,0,0,0,11,28,0,7,4,6,1971,
"Beaufort",2120,16,0,4,0,0,0,0,28,58,5,3,5,3,2249,
"Golden Plains - North",2126,11,0,0,0,0,0,0,14,0,4,4,0,0,2163,
"Maryborough (Vic.)",3590,397,18,88,0,0,0,0,49,0,0,30,21,12,4206,
"Maryborough Surrounds",2793,51,3,3,0,0,0,0,30,4,0,27,8,0,2921,
"Bendigo",6296,637,249,155,5,0,0,4,0,0,5,24,12,43,7429,
"California Gully - Eaglehawk",5436,299,0,13,0,0,0,0,3,0,0,8,25,10,5789,
"East Bendigo - Kennington",5261,975,132,64,28,0,0,5,0,0,0,4,16,19,6496,
