Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Dwellings, Place of Enumeration"
"SA2 by HCFMD Family Household Composition (Dwelling)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"HCFMD Family Household Composition (Dwelling)","One family household: Couple family with no children","One family household: Couple family with children","One family household: One parent family","One family household: Other family","Two family household: Couple family with no children","Two family household: Couple family with children","Two family household: One parent family","Two family household: Other family","Three or more family household: Couple family with no children","Three or more family household: Couple family with children","Three or more family household: One parent family","Three or more family household: Other family","Lone person household","Group household","Visitors only household","Other non-classifiable household","Not applicable","Total",
"SA2",
"Alfredton",994,1531,465,26,7,19,4,0,0,0,0,0,708,123,24,128,350,4384,
"Ballarat",1203,1135,451,41,4,4,6,0,0,0,0,0,1528,279,70,226,828,5763,
"Ballarat - North",2287,2389,992,81,9,20,20,0,0,0,0,0,2754,434,67,404,1221,10680,
"Ballarat - South",2210,2083,1399,135,5,15,28,0,0,0,0,0,3397,592,102,532,1123,11624,
"Buninyong",683,873,186,16,3,5,4,0,0,0,0,0,411,92,23,120,148,2572,
"Delacombe",677,768,349,27,9,4,8,0,0,6,0,0,521,100,15,90,238,2814,
"Smythes Creek",373,571,86,7,3,14,4,0,0,0,0,0,170,21,8,59,100,1416,
"Wendouree - Miners Rest",1357,1364,760,74,12,15,10,0,0,0,0,0,1891,188,34,296,643,6641,
"Bacchus Marsh Region",636,671,183,12,6,18,14,0,0,0,0,0,498,44,23,130,401,2623,
"Creswick - Clunes",933,728,277,21,8,10,12,0,0,0,0,0,889,52,32,215,442,3616,
"Daylesford",1162,780,321,19,6,17,6,0,0,0,0,0,1195,121,125,252,1726,5722,
"Gordon (Vic.)",605,684,165,16,3,7,9,0,0,0,0,0,430,39,28,141,297,2428,
"Avoca",468,277,103,11,0,3,0,0,0,0,0,0,455,49,22,85,373,1836,
"Beaufort",475,409,120,3,5,0,7,0,0,0,0,0,499,40,34,99,298,1994,
"Golden Plains - North",516,519,143,13,3,6,6,0,0,0,0,0,395,25,21,74,236,1965,
"Maryborough (Vic.)",937,595,424,25,3,3,11,0,0,0,0,0,1266,111,38,163,420,3990,
"Maryborough Region",690,467,218,17,4,11,11,0,0,0,0,0,677,75,31,106,477,2777,
"Bendigo",1354,1086,828,98,9,22,18,0,0,0,0,0,2141,326,146,351,992,7374,
"California Gully - Eaglehawk",1061,1045,707,60,10,13,19,0,0,0,0,0,1466,194,27,314,519,5440,
"East Bendigo - Kennington",1489,1192,584,67,8,18,15,0,0,0,0,0,1721,252,55,205,760,6361,
"Flora Hill - Spring Gully",835,851,438,48,4,8,11,0,0,0,0,0,1144,291,33,167,498,4327,
"Kangaroo Flat - Golden Square",2081,1788,982,96,18,27,13,4,0,0,0,0,2455,291,70,421,816,9065,
"Maiden Gully",397,819,108,9,3,3,9,0,0,0,0,0,157,18,10,54,76,1671,
"Strathfieldsaye",790,1277,252,13,3,12,7,0,0,0,0,0,332,32,11,77,187,3004,
"White Hills - Ascot",1116,1391,543,35,9,13,24,0,0,4,0,0,841,138,44,203,286,4650,
"Bendigo Region - South",790,978,172,13,7,15,13,0,0,0,0,0,340,38,27,120,241,2741,
"Castlemaine",1082,871,472,42,8,5,5,0,0,0,0,0,1468,157,69,261,636,5078,
"Castlemaine Region",1153,809,279,30,6,9,0,0,0,0,0,0,986,101,63,185,786,4410,
"Heathcote",623,382,161,13,6,5,8,0,0,0,0,0,571,56,31,130,507,2489,
"Kyneton",1066,1001,343,30,12,22,7,0,0,0,0,0,967,89,100,230,539,4400,
"Woodend",663,910,227,22,7,6,10,0,0,0,0,0,501,32,29,160,290,2861,
"Bendigo Region - North",504,512,129,11,12,10,9,0,0,0,0,0,381,34,19,87,199,1901,
"Loddon",907,580,218,17,5,7,3,0,0,0,0,0,954,85,63,276,807,3922,
"Bannockburn",541,922,161,11,10,24,10,0,0,0,0,0,242,27,13,75,127,2175,
"Golden Plains - South",707,910,199,12,7,20,5,0,0,0,0,0,438,45,27,101,320,2792,
"Winchelsea",647,696,170,21,10,8,6,0,0,0,0,0,395,35,24,87,352,2464,
"Belmont",1389,1374,643,63,5,14,10,0,0,0,0,0,1939,297,103,230,610,6678,
